model,provider,reasoning,K,item_id,grid_id,qtype,target_prompt,gold,raw,parsed,correct,input_tokens,output_tokens,cached,error
gpt-4.1-mini,openai,direct,0,25,0274efda4f,POINT,"What token is at row 2, column 2?",Y,Y,Y,1,151,1,0,
gpt-4.1-mini,openai,direct,0,26,7f578e27c6,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 2)","(2, 2)","(2, 2)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,27,175a7dec63,COUNT,How many cells contain the token 'G'?,1,1,1,1,150,1,0,
gpt-4.1-mini,openai,direct,0,28,5cddaf0243,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,159,1,0,
gpt-4.1-mini,openai,direct,0,29,115af5bc04,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 3?",.,.,.,1,158,1,0,
gpt-4.1-mini,openai,direct,0,30,5ad4315802,POINT,"What token is at row 6, column 6?",.,.,.,1,153,1,0,
gpt-4.1-mini,openai,direct,0,31,c13bd501d3,LOOKUP,"What is the (row, column) of the first 'Y' in row-major order?","(0, 3)","(0, 3)","(0, 3)",1,160,6,0,
gpt-4.1-mini,openai,direct,0,32,222672fc08,COUNT,How many cells contain the token 'Y'?,2,3,3,0,150,1,0,
gpt-4.1-mini,openai,direct,0,33,7264689549,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,159,1,0,
gpt-4.1-mini,openai,direct,0,34,d57530f694,NEIGHBOR,"What token is directly to the right of the cell at row 6, column 2?",.,.,.,1,159,1,0,
gpt-4.1-mini,openai,direct,0,35,57293f4c1c,POINT,"What token is at row 5, column 5?",G,G,G,1,154,1,0,
gpt-4.1-mini,openai,direct,0,36,c88b857b9c,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 6)","(2, 6)","(2, 6)",1,160,6,0,
gpt-4.1-mini,openai,direct,0,37,4f05c53b62,COUNT,How many cells contain the token 'R'?,2,3,3,0,149,1,0,
gpt-4.1-mini,openai,direct,0,38,a40a99676c,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,3,3,0,159,1,0,
gpt-4.1-mini,openai,direct,0,39,e11dcead83,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 5?",.,.,.,1,158,1,0,
gpt-4.1-mini,openai,direct,0,40,c34677f4ea,POINT,"What token is at row 6, column 0?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,41,9e535ebec1,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 5)","(2, 5)","(2, 5)",1,159,6,0,
gpt-4.1-mini,openai,direct,0,42,3f0ad3a6e9,COUNT,How many cells contain the token 'G'?,4,4,4,1,149,1,0,
gpt-4.1-mini,openai,direct,0,43,cba5e4b6d3,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,159,1,0,
gpt-4.1-mini,openai,direct,0,44,7529375870,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 3?",B,B,B,1,158,1,0,
gpt-4.1-mini,openai,direct,0,45,ae68dbd9e6,POINT,"What token is at row 1, column 5?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,46,f0cfdad1ab,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(3, 4)","(3, 4)","(3, 4)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,47,7fc21214f8,COUNT,How many cells contain the token 'B'?,2,3,3,0,149,1,0,
gpt-4.1-mini,openai,direct,0,48,eeae844cf3,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",0,0,0,1,159,1,0,
gpt-4.1-mini,openai,direct,0,49,983d701ffa,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 0?",.,B,B,0,158,1,0,
gpt-4.1-mini,openai,direct,0,50,6c9a444c33,POINT,"What token is at row 3, column 6?",R,R,R,1,154,1,0,
gpt-4.1-mini,openai,direct,0,51,57c86340d3,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(3, 3)","(3, 3)","(3, 3)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,52,a672661cdd,COUNT,How many cells contain the token 'Y'?,1,1,1,1,149,1,0,
gpt-4.1-mini,openai,direct,0,53,f40fdcb476,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,159,1,0,
gpt-4.1-mini,openai,direct,0,54,4b9e9476ef,NEIGHBOR,"What token is directly to the right of the cell at row 5, column 1?",.,.,.,1,161,1,0,
gpt-4.1-mini,openai,direct,0,55,299032a203,POINT,"What token is at row 1, column 6?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,56,3fde1b02bc,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(5, 5)","(5, 5)","(5, 5)",1,162,6,0,
gpt-4.1-mini,openai,direct,0,57,29d042c339,COUNT,How many cells contain the token 'B'?,1,1,1,1,152,1,0,
gpt-4.1-mini,openai,direct,0,58,41a9d2abd2,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",3,3,3,1,159,1,0,
gpt-4.1-mini,openai,direct,0,59,852a0b2a4c,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 1?",.,.,.,1,158,1,0,
gpt-4.1-mini,openai,direct,0,60,8eb05f9312,POINT,"What token is at row 5, column 0?",.,.,.,1,156,1,0,
gpt-4.1-mini,openai,direct,0,61,5a5b6164c0,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(3, 6)","(3, 6)","(3, 6)",1,162,6,0,
gpt-4.1-mini,openai,direct,0,62,04ed97a3a5,COUNT,How many cells contain the token 'G'?,1,2,2,0,149,1,0,
gpt-4.1-mini,openai,direct,0,63,bf86fef313,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,161,1,0,
gpt-4.1-mini,openai,direct,0,64,07851af84c,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 0?",.,.,.,1,159,1,0,
gpt-4.1-mini,openai,direct,0,65,71abd88b3b,POINT,"What token is at row 1, column 4?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,66,fc8dbd5753,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,67,1788dd0c34,COUNT,How many cells contain the token 'G'?,2,3,3,0,149,1,0,
gpt-4.1-mini,openai,direct,0,68,f341fb86d4,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,1,1,1,159,1,0,
gpt-4.1-mini,openai,direct,0,69,e11f2694d1,NEIGHBOR,"What token is directly to the right of the cell at row 4, column 0?",.,.,.,1,161,1,0,
gpt-4.1-mini,openai,direct,0,70,30ac42e2d2,POINT,"What token is at row 6, column 5?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,71,168236d972,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(5, 2)","(5, 2)","(5, 2)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,72,f4f7224855,COUNT,How many cells contain the token 'R'?,2,3,3,0,152,1,0,
gpt-4.1-mini,openai,direct,0,73,6b9c0baacf,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",0,0,0,1,159,1,0,
gpt-4.1-mini,openai,direct,0,74,a72a5a4fa1,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 4?",.,.,.,1,158,1,0,
gpt-4.1-mini,openai,direct,0,75,147a779eea,POINT,"What token is at row 2, column 6?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,76,a74534895b,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(3, 0)","(3, 0)","(3, 0)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,77,fa5ee049ed,COUNT,How many cells contain the token 'B'?,2,3,3,0,149,1,0,
gpt-4.1-mini,openai,direct,0,78,ac03bd6ff1,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,160,1,0,
gpt-4.1-mini,openai,direct,0,79,59f8f0470f,NEIGHBOR,"What token is directly to the right of the cell at row 2, column 2?",.,.,.,1,159,1,0,
gpt-4.1-mini,openai,direct,1,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,169,1,1,
gpt-4.1-mini,openai,direct,1,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,175,6,1,
gpt-4.1-mini,openai,direct,1,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,167,1,1,
gpt-4.1-mini,openai,direct,1,3,18298117c2,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,2,2,0,176,1,0,
gpt-4.1-mini,openai,direct,1,4,6c80328453,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 3?",.,.,.,1,175,1,0,
gpt-4.1-mini,openai,direct,1,5,cd5f369e50,POINT,"What token is at row 3, column 5?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,6,846f3da6d0,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(1, 2)","(1, 2)","(1, 2)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,7,53097a9144,COUNT,How many cells contain the token 'B'?,3,4,4,0,166,1,0,
gpt-4.1-mini,openai,direct,1,8,2d0e045d8d,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,177,1,0,
gpt-4.1-mini,openai,direct,1,9,20557c8359,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 3?",B,B,B,1,175,1,0,
gpt-4.1-mini,openai,direct,1,10,4d00b0c48a,POINT,"What token is at row 0, column 0?",.,.,.,1,169,1,0,
gpt-4.1-mini,openai,direct,1,11,e21ba504f7,LOOKUP,"What is the (row, column) of the first 'Y' in row-major order?","(3, 6)","(3, 6)","(3, 6)",1,179,6,0,
gpt-4.1-mini,openai,direct,1,12,4c57774168,COUNT,How many cells contain the token 'B'?,1,1,1,1,166,1,0,
gpt-4.1-mini,openai,direct,1,13,a7b865f7a7,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,176,1,0,
gpt-4.1-mini,openai,direct,1,14,755b28b658,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 1?",.,.,.,1,176,1,0,
gpt-4.1-mini,openai,direct,1,15,892d63ec1d,POINT,"What token is at row 6, column 5?",G,G,G,1,169,1,0,
gpt-4.1-mini,openai,direct,1,16,21108a3e6b,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(1, 1)","(1, 1)","(1, 1)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,17,0462f8fe2d,COUNT,How many cells contain the token 'R'?,3,4,4,0,166,1,0,
gpt-4.1-mini,openai,direct,1,18,5dcfa1586a,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,176,1,0,
gpt-4.1-mini,openai,direct,1,19,8271e98d8f,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 4?",.,.,.,1,175,1,0,
gpt-4.1-mini,openai,direct,1,20,4675f31b4f,POINT,"What token is at row 5, column 3?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,21,d88fe42d7b,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(4, 2)","(4, 2)","(4, 2)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,22,2c8d39515e,COUNT,How many cells contain the token 'R'?,3,5,5,0,166,1,0,
gpt-4.1-mini,openai,direct,1,23,dca8a9aa3c,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,0,0,0,181,1,0,
gpt-4.1-mini,openai,direct,1,24,b03471cca9,NEIGHBOR,"What token is directly to the right of the cell at row 2, column 1?",.,.,.,1,177,1,0,
gpt-4.1-mini,openai,direct,1,25,0274efda4f,POINT,"What token is at row 2, column 2?",Y,Y,Y,1,168,1,0,
gpt-4.1-mini,openai,direct,1,26,7f578e27c6,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 2)","(2, 2)","(2, 2)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,27,175a7dec63,COUNT,How many cells contain the token 'G'?,1,1,1,1,167,1,0,
gpt-4.1-mini,openai,direct,1,28,5cddaf0243,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,177,1,0,
gpt-4.1-mini,openai,direct,1,29,115af5bc04,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 3?",.,.,.,1,175,1,0,
gpt-4.1-mini,openai,direct,1,30,5ad4315802,POINT,"What token is at row 6, column 6?",.,.,.,1,170,1,0,
gpt-4.1-mini,openai,direct,1,31,c13bd501d3,LOOKUP,"What is the (row, column) of the first 'Y' in row-major order?","(0, 3)","(0, 3)","(0, 3)",1,177,6,0,
gpt-4.1-mini,openai,direct,1,32,222672fc08,COUNT,How many cells contain the token 'Y'?,2,3,3,0,167,1,0,
gpt-4.1-mini,openai,direct,1,33,7264689549,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,176,1,0,
gpt-4.1-mini,openai,direct,1,34,d57530f694,NEIGHBOR,"What token is directly to the right of the cell at row 6, column 2?",.,.,.,1,176,1,0,
gpt-4.1-mini,openai,direct,1,35,57293f4c1c,POINT,"What token is at row 5, column 5?",G,G,G,1,171,1,0,
gpt-4.1-mini,openai,direct,1,36,c88b857b9c,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 6)","(2, 6)","(2, 6)",1,177,6,0,
gpt-4.1-mini,openai,direct,1,37,4f05c53b62,COUNT,How many cells contain the token 'R'?,2,3,3,0,166,1,0,
gpt-4.1-mini,openai,direct,1,38,a40a99676c,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,3,3,0,176,1,0,
gpt-4.1-mini,openai,direct,1,39,e11dcead83,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 5?",.,.,.,1,175,1,0,
gpt-4.1-mini,openai,direct,1,40,c34677f4ea,POINT,"What token is at row 6, column 0?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,41,9e535ebec1,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 5)","(2, 5)","(2, 5)",1,177,6,0,
gpt-4.1-mini,openai,direct,1,42,3f0ad3a6e9,COUNT,How many cells contain the token 'G'?,4,4,4,1,167,1,0,
gpt-4.1-mini,openai,direct,1,43,cba5e4b6d3,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,176,1,0,
gpt-4.1-mini,openai,direct,1,44,7529375870,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 3?",B,B,B,1,175,1,0,
gpt-4.1-mini,openai,direct,1,45,ae68dbd9e6,POINT,"What token is at row 1, column 5?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,46,f0cfdad1ab,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(3, 4)","(3, 4)","(3, 4)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,47,7fc21214f8,COUNT,How many cells contain the token 'B'?,2,3,3,0,166,1,0,
gpt-4.1-mini,openai,direct,1,48,eeae844cf3,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",0,0,0,1,176,1,0,
gpt-4.1-mini,openai,direct,1,49,983d701ffa,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 0?",.,R,R,0,175,1,0,
gpt-4.1-mini,openai,direct,1,50,6c9a444c33,POINT,"What token is at row 3, column 6?",R,R,R,1,171,1,0,
gpt-4.1-mini,openai,direct,1,51,57c86340d3,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(3, 3)","(3, 3)","(3, 3)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,52,a672661cdd,COUNT,How many cells contain the token 'Y'?,1,1,1,1,166,1,0,
gpt-4.1-mini,openai,direct,1,53,f40fdcb476,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,176,1,0,
gpt-4.1-mini,openai,direct,1,54,4b9e9476ef,NEIGHBOR,"What token is directly to the right of the cell at row 5, column 1?",.,.,.,1,178,1,0,
gpt-4.1-mini,openai,direct,1,55,299032a203,POINT,"What token is at row 1, column 6?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,56,3fde1b02bc,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(5, 5)","(5, 5)","(5, 5)",1,179,6,0,
gpt-4.1-mini,openai,direct,1,57,29d042c339,COUNT,How many cells contain the token 'B'?,1,1,1,1,169,1,0,
gpt-4.1-mini,openai,direct,1,58,41a9d2abd2,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",3,3,3,1,176,1,0,
gpt-4.1-mini,openai,direct,1,59,852a0b2a4c,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 1?",.,.,.,1,175,1,0,
gpt-4.1-mini,openai,direct,1,60,8eb05f9312,POINT,"What token is at row 5, column 0?",.,.,.,1,173,1,0,
gpt-4.1-mini,openai,direct,1,61,5a5b6164c0,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(3, 6)","(3, 6)","(3, 6)",1,179,6,0,
gpt-4.1-mini,openai,direct,1,62,04ed97a3a5,COUNT,How many cells contain the token 'G'?,1,2,2,0,166,1,0,
gpt-4.1-mini,openai,direct,1,63,bf86fef313,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,179,1,0,
gpt-4.1-mini,openai,direct,1,64,07851af84c,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 0?",.,.,.,1,176,1,0,
gpt-4.1-mini,openai,direct,1,65,71abd88b3b,POINT,"What token is at row 1, column 4?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,66,fc8dbd5753,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,67,1788dd0c34,COUNT,How many cells contain the token 'G'?,2,3,3,0,166,1,0,
gpt-4.1-mini,openai,direct,1,68,f341fb86d4,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,1,1,1,176,1,0,
gpt-4.1-mini,openai,direct,1,69,e11f2694d1,NEIGHBOR,"What token is directly to the right of the cell at row 4, column 0?",.,.,.,1,178,1,0,
gpt-4.1-mini,openai,direct,1,70,30ac42e2d2,POINT,"What token is at row 6, column 5?",.,.,.,1,169,1,0,
gpt-4.1-mini,openai,direct,1,71,168236d972,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(5, 2)","(5, 2)","(5, 2)",1,176,6,0,
gpt-4.1-mini,openai,direct,1,72,f4f7224855,COUNT,How many cells contain the token 'R'?,2,3,3,0,169,1,0,
gpt-4.1-mini,openai,direct,1,73,6b9c0baacf,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",0,0,0,1,176,1,0,
gpt-4.1-mini,openai,direct,1,74,a72a5a4fa1,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 4?",.,.,.,1,175,1,0,
gpt-4.1-mini,openai,direct,1,75,147a779eea,POINT,"What token is at row 2, column 6?",.,.,.,1,168,1,0,
gpt-4.1-mini,openai,direct,1,76,a74534895b,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(3, 0)","(3, 0)","(3, 0)",1,176,6,0,
gpt-4.1-mini,openai,direct,1,77,fa5ee049ed,COUNT,How many cells contain the token 'B'?,2,3,3,0,166,1,0,
gpt-4.1-mini,openai,direct,1,78,ac03bd6ff1,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,177,1,0,
gpt-4.1-mini,openai,direct,1,79,59f8f0470f,NEIGHBOR,"What token is directly to the right of the cell at row 2, column 2?",.,.,.,1,176,1,0,
gpt-4.1-mini,openai,direct,2,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,198,1,1,
gpt-4.1-mini,openai,direct,2,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,204,6,1,
gpt-4.1-mini,openai,direct,2,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,196,1,1,
gpt-4.1-mini,openai,direct,2,3,18298117c2,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,2,2,0,205,1,0,
gpt-4.1-mini,openai,direct,2,4,6c80328453,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 3?",.,.,.,1,204,1,0,
gpt-4.1-mini,openai,direct,2,5,cd5f369e50,POINT,"What token is at row 3, column 5?",.,.,.,1,197,1,0,
gpt-4.1-mini,openai,direct,2,6,846f3da6d0,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(1, 2)","(1, 2)","(1, 2)",1,204,6,0,
gpt-4.1-mini,openai,direct,2,7,53097a9144,COUNT,How many cells contain the token 'B'?,3,4,4,0,195,1,0,
gpt-4.1-mini,openai,direct,2,8,2d0e045d8d,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,206,1,0,
gpt-4.1-mini,openai,direct,2,9,20557c8359,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 3?",B,B,B,1,204,1,0,
gpt-4.1-mini,openai,direct,2,10,4d00b0c48a,POINT,"What token is at row 0, column 0?",.,.,.,1,198,1,0,
gpt-4.1-mini,openai,direct,2,11,e21ba504f7,LOOKUP,"What is the (row, column) of the first 'Y' in row-major order?","(3, 6)","(3, 6)","(3, 6)",1,208,6,0,
gpt-4.1-mini,openai,direct,2,12,4c57774168,COUNT,How many cells contain the token 'B'?,1,2,2,0,195,1,0,
gpt-4.1-mini,openai,direct,2,13,a7b865f7a7,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,205,1,0,
gpt-4.1-mini,openai,direct,2,14,755b28b658,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 1?",.,.,.,1,205,1,0,
gpt-4.1-mini,openai,direct,2,15,892d63ec1d,POINT,"What token is at row 6, column 5?",G,G,G,1,198,1,0,
gpt-4.1-mini,openai,direct,2,16,21108a3e6b,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(1, 1)","(1, 1)","(1, 1)",1,204,6,0,
gpt-4.1-mini,openai,direct,2,17,0462f8fe2d,COUNT,How many cells contain the token 'R'?,3,4,4,0,195,1,0,
gpt-4.1-mini,openai,direct,2,18,5dcfa1586a,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,205,1,0,
gpt-4.1-mini,openai,direct,2,19,8271e98d8f,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 4?",.,.,.,1,204,1,0,
gpt-4.1-mini,openai,direct,2,20,4675f31b4f,POINT,"What token is at row 5, column 3?",.,.,.,1,197,1,0,
gpt-4.1-mini,openai,direct,2,21,d88fe42d7b,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(4, 2)","(4, 2)","(4, 2)",1,204,6,0,
gpt-4.1-mini,openai,direct,2,22,2c8d39515e,COUNT,How many cells contain the token 'R'?,3,5,5,0,195,1,0,
gpt-4.1-mini,openai,direct,2,23,dca8a9aa3c,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,2,2,0,210,1,0,
gpt-4.1-mini,openai,direct,2,24,b03471cca9,NEIGHBOR,"What token is directly to the right of the cell at row 2, column 1?",.,.,.,1,206,1,0,
gpt-4.1-mini,openai,direct,2,25,0274efda4f,POINT,"What token is at row 2, column 2?",Y,Y,Y,1,197,1,0,
gpt-4.1-mini,openai,direct,2,26,7f578e27c6,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(2, 2)","(2, 2)","(2, 2)",1,204,6,0,
